emoji,name,slug,group
🌿,herb,herb,
☘️,shamrock,shamrock,
🍀,four leaf clover,four_leaf_clover,
🍁,maple leaf,maple_leaf,
🍂,fallen leaf,fallen_leaf,
🍃,leaf fluttering in wind,leaf_fluttering_in_wind,
🪹,empty nest,empty_nest,
🪺,nest with eggs,nest_with_eggs,
🍄,mushroom,mushroom,
🪾,leafless tree,leafless_tree,
🍇,grapes,grapes,
🍈,melon,melon,
🍉,watermelon,watermelon,
🍊,tangerine,tangerine,
🍋,lemon,lemon,
🍋‍🟩,lime,lime,
🍌,banana,banana,
🍍,pineapple,pineapple,
🥭,mango,mango,
🍎,red apple,red_apple,
🍏,green apple,green_apple,
🍐,pear,pear,
🍑,peach,peach,
🍒,cherries,cherries,
🍓,strawberry,strawberry,
🫐,blueberries,blueberries,
🥝,kiwi fruit,kiwi_fruit,
🍅,tomato,tomato,
🫒,olive,olive,
🥥,coconut,coconut,
🥑,avocado,avocado,
🍆,eggplant,eggplant,
🥔,potato,potato,
🥕,carrot,carrot,
🌽,ear of corn,ear_of_corn,
🌶️,hot pepper,hot_pepper,
🫑,bell pepper,bell_pepper,
🥒,cucumber,cucumber,
🥬,leafy green,leafy_green,
🥦,broccoli,broccoli,
🧄,garlic,garlic,
🧅,onion,onion,
🥜,peanuts,peanuts,
🫘,beans,beans,
🌰,chestnut,chestnut,
🫚,ginger root,ginger_root,
🫛,pea pod,pea_pod,
🍄‍🟫,brown mushroom,brown_mushroom,
🫜,root vegetable,root_vegetable,
🍞,bread,bread,
🥐,croissant,croissant,
🥖,baguette bread,baguette_bread,
🫓,flatbread,flatbread,
🥨,pretzel,pretzel,
🥯,bagel,bagel,
🥞,pancakes,pancakes,
🧇,waffle,waffle,
🧀,cheese wedge,cheese_wedge,
🍖,meat on bone,meat_on_bone,
🍗,poultry leg,poultry_leg,
🥩,cut of meat,cut_of_meat,
🥓,bacon,bacon,
🍔,hamburger,hamburger,
🍟,french fries,french_fries,
🍕,pizza,pizza,
🌭,hot dog,hot_dog,
🥪,sandwich,sandwich,
🌮,taco,taco,
🌯,burrito,burrito,
🫔,tamale,tamale,
🥙,stuffed flatbread,stuffed_flatbread,
🧆,falafel,falafel,
🥚,egg,egg,
🍳,cooking,cooking,
🥘,shallow pan of food,shallow_pan_of_food,
🍲,pot of food,pot_of_food,
🫕,fondue,fondue,
🥣,bowl with spoon,bowl_with_spoon,
🥗,green salad,green_salad,
🍿,popcorn,popcorn,
🧈,butter,butter,
🧂,salt,salt,
🥫,canned food,canned_food,
🍱,bento box,bento_box,
🍘,rice cracker,rice_cracker,
🍙,rice ball,rice_ball,
🍚,cooked rice,cooked_rice,
🍛,curry rice,curry_rice,
🍜,steaming bowl,steaming_bowl,
🍝,spaghetti,spaghetti,
🍠,roasted sweet potato,roasted_sweet_potato,
🍢,oden,oden,
🍣,sushi,sushi,
🍤,fried shrimp,fried_shrimp,
🍥,fish cake with swirl,fish_cake_with_swirl,
🥮,moon cake,moon_cake,
🍡,dango,dango,
🥟,dumpling,dumpling,
🥠,fortune cookie,fortune_cookie,
🥡,takeout box,takeout_box,
🍦,soft ice cream,soft_ice_cream,
🍧,shaved ice,shaved_ice,
🍨,ice cream,ice_cream,
🍩,doughnut,doughnut,
🍪,cookie,cookie,
🎂,birthday cake,birthday_cake,
🍰,shortcake,shortcake,
🧁,cupcake,cupcake,
🥧,pie,pie,
🍫,chocolate bar,chocolate_bar,
🍬,candy,candy,
🍭,lollipop,lollipop,
🍮,custard,custard,
🍯,honey pot,honey_pot,
🍼,baby bottle,baby_bottle,
🥛,glass of milk,glass_of_milk,
☕,hot beverage,hot_beverage,
🫖,teapot,teapot,
🍵,teacup without handle,teacup_without_handle,
🍶,sake,sake,
🍾,bottle with popping cork,bottle_with_popping_cork,
🍷,wine glass,wine_glass,
🍸,cocktail glass,cocktail_glass,
🍹,tropical drink,tropical_drink,
🍺,beer mug,beer_mug,
🍻,clinking beer mugs,clinking_beer_mugs,
🥂,clinking glasses,clinking_glasses,
🥃,tumbler glass,tumbler_glass,
🫗,pouring liquid,pouring_liquid,
🥤,cup with straw,cup_with_straw,
🧋,bubble tea,bubble_tea,
🧃,beverage box,beverage_box,
🧉,mate,mate,
🧊,ice,ice,
🥢,chopsticks,chopsticks,
🍽️,fork and knife with plate,fork_and_knife_with_plate,
🍴,fork and knife,fork_and_knife,
🥄,spoon,spoon,
🔪,kitchen knife,kitchen_knife,
🫙,jar,jar,
🏺,amphora,amphora,
🌍,globe showing Europe-Africa,globe_showing_europe_africa,
🌎,globe showing Americas,globe_showing_americas,
🌏,globe showing Asia-Australia,globe_showing_asia_australia,
🌐,globe with meridians,globe_with_meridians,
🗺️,world map,world_map,
🗾,map of Japan,map_of_japan,
🧭,compass,compass,
🏔️,snow-capped mountain,snow_capped_mountain,
⛰️,mountain,mountain,
🌋,volcano,volcano,
🗻,mount fuji,mount_fuji,
🏕️,camping,camping,
🏖️,beach with umbrella,beach_with_umbrella,
🏜️,desert,desert,
🏝️,desert island,desert_island,
🏞️,national park,national_park,
🏟️,stadium,stadium,
🏛️,classical building,classical_building,
🏗️,building construction,building_construction,
🧱,brick,brick,
🪨,rock,rock,
🪵,wood,wood,
🛖,hut,hut,
🏘️,houses,houses,
🏚️,derelict house,derelict_house,
🏠,house,house,
🏡,house with garden,house_with_garden,
🏢,office building,office_building,
🏣,Japanese post office,japanese_post_office,
🏤,post office,post_office,
🏥,hospital,hospital,
🏦,bank,bank,
🏨,hotel,hotel,
🏩,love hotel,love_hotel,
🏪,convenience store,convenience_store,
🏫,school,school,
🏬,department store,department_store,
🏭,factory,factory,
🏯,Japanese castle,japanese_castle,
🏰,castle,castle,
💒,wedding,wedding,
🗼,Tokyo tower,tokyo_tower,
🗽,Statue of Liberty,statue_of_liberty,
⛪,church,church,
🕌,mosque,mosque,
🛕,hindu temple,hindu_temple,
🕍,synagogue,synagogue,
⛩️,shinto shrine,shinto_shrine,
🕋,kaaba,kaaba,
⛲,fountain,fountain,
⛺,tent,tent,
🌁,foggy,foggy,
🌃,night with stars,night_with_stars,
🏙️,cityscape,cityscape,
🌄,sunrise over mountains,sunrise_over_mountains,
🌅,sunrise,sunrise,
🌆,cityscape at dusk,cityscape_at_dusk,
🌇,sunset,sunset,
🌉,bridge at night,bridge_at_night,
♨️,hot springs,hot_springs,
🎠,carousel horse,carousel_horse,
🛝,playground slide,playground_slide,
🎡,ferris wheel,ferris_wheel,
🎢,roller coaster,roller_coaster,
💈,barber pole,barber_pole,
🎪,circus tent,circus_tent,
🚂,locomotive,locomotive,
🚃,railway car,railway_car,
🚄,high-speed train,high_speed_train,
🚅,bullet train,bullet_train,
🚆,train,train,
🚇,metro,metro,
🚈,light rail,light_rail,
🚉,station,station,
🚊,tram,tram,
🚝,monorail,monorail,
🚞,mountain railway,mountain_railway,
🚋,tram car,tram_car,
🚌,bus,bus,
🚍,oncoming bus,oncoming_bus,
🚎,trolleybus,trolleybus,
🚐,minibus,minibus,
🚑,ambulance,ambulance,
🚒,fire engine,fire_engine,
🚓,police car,police_car,
🚔,oncoming police car,oncoming_police_car,
🚕,taxi,taxi,
🚖,oncoming taxi,oncoming_taxi,
🚗,automobile,automobile,
🚘,oncoming automobile,oncoming_automobile,
🚙,sport utility vehicle,sport_utility_vehicle,
🛻,pickup truck,pickup_truck,
🚚,delivery truck,delivery_truck,
🚛,articulated lorry,articulated_lorry,
🚜,tractor,tractor,
🏎️,racing car,racing_car,
🏍️,motorcycle,motorcycle,
🛵,motor scooter,motor_scooter,
🦽,manual wheelchair,manual_wheelchair,
🦼,motorized wheelchair,motorized_wheelchair,
🛺,auto rickshaw,auto_rickshaw,
🚲,bicycle,bicycle,
🛴,kick scooter,kick_scooter,
🛹,skateboard,skateboard,
🛼,roller skate,roller_skate,
🚏,bus stop,bus_stop,
🛣️,motorway,motorway,
🛤️,railway track,railway_track,
🛢️,oil drum,oil_drum,
⛽,fuel pump,fuel_pump,
🛞,wheel,wheel,
🚨,police car light,police_car_light,
🚥,horizontal traffic light,horizontal_traffic_light,
🚦,vertical traffic light,vertical_traffic_light,
🛑,stop sign,stop_sign,
🚧,construction,construction,
⚓,anchor,anchor,
🛟,ring buoy,ring_buoy,
⛵,sailboat,sailboat,
🛶,canoe,canoe,
🚤,speedboat,speedboat,
🛳️,passenger ship,passenger_ship,
⛴️,ferry,ferry,
🛥️,motor boat,motor_boat,
🚢,ship,ship,
✈️,airplane,airplane,
🛩️,small airplane,small_airplane,
🛫,airplane departure,airplane_departure,
🛬,airplane arrival,airplane_arrival,
🪂,parachute,parachute,
💺,seat,seat,
🚁,helicopter,helicopter,
🚟,suspension railway,suspension_railway,
🚠,mountain cableway,mountain_cableway,
🚡,aerial tramway,aerial_tramway,
🛰️,satellite,satellite,
🚀,rocket,rocket,
🛸,flying saucer,flying_saucer,
🛎️,bellhop bell,bellhop_bell,
🧳,luggage,luggage,
⌛,hourglass done,hourglass_done,
⏳,hourglass not done,hourglass_not_done,
⌚,watch,watch,
⏰,alarm clock,alarm_clock,
⏱️,stopwatch,stopwatch,
⏲️,timer clock,timer_clock,
🕰️,mantelpiece clock,mantelpiece_clock,
🕛,twelve o’clock,twelve_o_clock,
🕧,twelve-thirty,twelve_thirty,
🕐,one o’clock,one_o_clock,
🕜,one-thirty,one_thirty,
🕑,two o’clock,two_o_clock,
🕝,two-thirty,two_thirty,
🕒,three o’clock,three_o_clock,
🕞,three-thirty,three_thirty,
🕓,four o’clock,four_o_clock,
🕟,four-thirty,four_thirty,
🕔,five o’clock,five_o_clock,
🕠,five-thirty,five_thirty,
🕕,six o’clock,six_o_clock,
🕡,six-thirty,six_thirty,
🕖,seven o’clock,seven_o_clock,
🕢,seven-thirty,seven_thirty,
🕗,eight o’clock,eight_o_clock,
🕣,eight-thirty,eight_thirty,
🕘,nine o’clock,nine_o_clock,
🕤,nine-thirty,nine_thirty,
🕙,ten o’clock,ten_o_clock,
🕥,ten-thirty,ten_thirty,
🕚,eleven o’clock,eleven_o_clock,
🕦,eleven-thirty,eleven_thirty,
🌑,new moon,new_moon,
🌒,waxing crescent moon,waxing_crescent_moon,
🌓,first quarter moon,first_quarter_moon,
🌔,waxing gibbous moon,waxing_gibbous_moon,
🌕,full moon,full_moon,
🌖,waning gibbous moon,waning_gibbous_moon,
🌗,last quarter moon,last_quarter_moon,
🌘,waning crescent moon,waning_crescent_moon,
🌙,crescent moon,crescent_moon,
🌚,new moon face,new_moon_face,
🌛,first quarter moon face,first_quarter_moon_face,
🌜,last quarter moon face,last_quarter_moon_face,
🌡️,thermometer,thermometer,
☀️,sun,sun,
🌝,full moon face,full_moon_face,
🌞,sun with face,sun_with_face,
🪐,ringed planet,ringed_planet,
⭐,star,star,
🌟,glowing star,glowing_star,
🌠,shooting star,shooting_star,
🌌,milky way,milky_way,
☁️,cloud,cloud,
⛅,sun behind cloud,sun_behind_cloud,
⛈️,cloud with lightning and rain,cloud_with_lightning_and_rain,
🌤️,sun behind small cloud,sun_behind_small_cloud,
🌥️,sun behind large cloud,sun_behind_large_cloud,
🌦️,sun behind rain cloud,sun_behind_rain_cloud,
🌧️,cloud with rain,cloud_with_rain,
🌨️,cloud with snow,cloud_with_snow,
🌩️,cloud with lightning,cloud_with_lightning,
🌪️,tornado,tornado,
🌫️,fog,fog,
🌬️,wind face,wind_face,
🌀,cyclone,cyclone,
🌈,rainbow,rainbow,
🌂,closed umbrella,closed_umbrella,
☂️,umbrella,umbrella,
☔,umbrella with rain drops,umbrella_with_rain_drops,
⛱️,umbrella on ground,umbrella_on_ground,
⚡,high voltage,high_voltage,
❄️,snowflake,snowflake,
☃️,snowman,snowman,
⛄,snowman without snow,snowman_without_snow,
☄️,comet,comet,
🔥,fire,fire,
💧,droplet,droplet,
🌊,water wave,water_wave,
🎃,jack-o-lantern,jack_o_lantern,
🎄,Christmas tree,christmas_tree,
🎆,fireworks,fireworks,
🎇,sparkler,sparkler,
🧨,firecracker,firecracker,
✨,sparkles,sparkles,
🎈,balloon,balloon,
🎉,party popper,party_popper,
🎊,confetti ball,confetti_ball,
🎋,tanabata tree,tanabata_tree,
🎍,pine decoration,pine_decoration,
🎎,Japanese dolls,japanese_dolls,
🎏,carp streamer,carp_streamer,
🎐,wind chime,wind_chime,
🎑,moon viewing ceremony,moon_viewing_ceremony,
🧧,red envelope,red_envelope,
🎀,ribbon,ribbon,
🎁,wrapped gift,wrapped_gift,
🎗️,reminder ribbon,reminder_ribbon,
🎟️,admission tickets,admission_tickets,
🎫,ticket,ticket,
🎖️,military medal,military_medal,
🏆,trophy,trophy,
🏅,sports medal,sports_medal,
🥇,1st place medal,1st_place_medal,
🥈,2nd place medal,2nd_place_medal,
🥉,3rd place medal,3rd_place_medal,
⚽,soccer ball,soccer_ball,
⚾,baseball,baseball,
🥎,softball,softball,
🏀,basketball,basketball,
🏐,volleyball,volleyball,
🏈,american football,american_football,
🏉,rugby football,rugby_football,
🎾,tennis,tennis,
🥏,flying disc,flying_disc,
🎳,bowling,bowling,
🏏,cricket game,cricket_game,
🏑,field hockey,field_hockey,
🏒,ice hockey,ice_hockey,
🥍,lacrosse,lacrosse,
🏓,ping pong,ping_pong,
🏸,badminton,badminton,
🥊,boxing glove,boxing_glove,
🥋,martial arts uniform,martial_arts_uniform,
🥅,goal net,goal_net,
⛳,flag in hole,flag_in_hole,
⛸️,ice skate,ice_skate,
🎣,fishing pole,fishing_pole,
🤿,diving mask,diving_mask,
🎽,running shirt,running_shirt,
🎿,skis,skis,
🛷,sled,sled,
🥌,curling stone,curling_stone,
🎯,bullseye,bullseye,
🪀,yo-yo,yo_yo,
🪁,kite,kite,
🔫,water pistol,water_pistol,
🎱,pool 8 ball,pool_8_ball,
🔮,crystal ball,crystal_ball,
🪄,magic wand,magic_wand,
🎮,video game,video_game,
🕹️,joystick,joystick,
🎰,slot machine,slot_machine,
🎲,game die,game_die,
🧩,puzzle piece,puzzle_piece,
🧸,teddy bear,teddy_bear,
🪅,piñata,pinata,
🪩,mirror ball,mirror_ball,
🪆,nesting dolls,nesting_dolls,
♠️,spade suit,spade_suit,
♥️,heart suit,heart_suit,
♦️,diamond suit,diamond_suit,
♣️,club suit,club_suit,
♟️,chess pawn,chess_pawn,
🃏,joker,joker,
🀄,mahjong red dragon,mahjong_red_dragon,
🎴,flower playing cards,flower_playing_cards,
🎭,performing arts,performing_arts,
🖼️,framed picture,framed_picture,
🎨,artist palette,artist_palette,
🧵,thread,thread,
🪡,sewing needle,sewing_needle,
🧶,yarn,yarn,
🪢,knot,knot,
👓,glasses,glasses,
🕶️,sunglasses,sunglasses,
🥽,goggles,goggles,
🥼,lab coat,lab_coat,
🦺,safety vest,safety_vest,
👔,necktie,necktie,
👕,t-shirt,t_shirt,
👖,jeans,jeans,
🧣,scarf,scarf,
🧤,gloves,gloves,
🧥,coat,coat,
🧦,socks,socks,
👗,dress,dress,
👘,kimono,kimono,
🥻,sari,sari,
🩱,one-piece swimsuit,one_piece_swimsuit,
🩲,briefs,briefs,
🩳,shorts,shorts,
👙,bikini,bikini,
👚,woman’s clothes,woman_s_clothes,
🪭,folding hand fan,folding_hand_fan,
👛,purse,purse,
👜,handbag,handbag,
👝,clutch bag,clutch_bag,
🛍️,shopping bags,shopping_bags,
🎒,backpack,backpack,
🩴,thong sandal,thong_sandal,
👞,man’s shoe,man_s_shoe,
👟,running shoe,running_shoe,
🥾,hiking boot,hiking_boot,
🥿,flat shoe,flat_shoe,
👠,high-heeled shoe,high_heeled_shoe,
👡,woman’s sandal,woman_s_sandal,
🩰,ballet shoes,ballet_shoes,
👢,woman’s boot,woman_s_boot,
🪮,hair pick,hair_pick,
👑,crown,crown,
👒,woman’s hat,woman_s_hat,
🎩,top hat,top_hat,
🎓,graduation cap,graduation_cap,
🧢,billed cap,billed_cap,
🪖,military helmet,military_helmet,
⛑️,rescue worker’s helmet,rescue_worker_s_helmet,
📿,prayer beads,prayer_beads,
💄,lipstick,lipstick,
💍,ring,ring,
💎,gem stone,gem_stone,
🔇,muted speaker,muted_speaker,
🔈,speaker low volume,speaker_low_volume,
🔉,speaker medium volume,speaker_medium_volume,
🔊,speaker high volume,speaker_high_volume,
📢,loudspeaker,loudspeaker,
📣,megaphone,megaphone,
📯,postal horn,postal_horn,
🔔,bell,bell,
🔕,bell with slash,bell_with_slash,
🎼,musical score,musical_score,
🎵,musical note,musical_note,
🎶,musical notes,musical_notes,
🎙️,studio microphone,studio_microphone,
🎚️,level slider,level_slider,
🎛️,control knobs,control_knobs,
🎤,microphone,microphone,
🎧,headphone,headphone,
📻,radio,radio,
🎷,saxophone,saxophone,
🪗,accordion,accordion,
🎸,guitar,guitar,
🎹,musical keyboard,musical_keyboard,
🎺,trumpet,trumpet,
🎻,violin,violin,
🪕,banjo,banjo,
🥁,drum,drum,
🪘,long drum,long_drum,
🪇,maracas,maracas,
🪈,flute,flute,
🪉,harp,harp,
📱,mobile phone,mobile_phone,
📲,mobile phone with arrow,mobile_phone_with_arrow,
☎️,telephone,telephone,
📞,telephone receiver,telephone_receiver,
📟,pager,pager,
📠,fax machine,fax_machine,
🔋,battery,battery,
🪫,low battery,low_battery,
🔌,electric plug,electric_plug,
💻,laptop,laptop,
🖥️,desktop computer,desktop_computer,
🖨️,printer,printer,
⌨️,keyboard,keyboard,
🖱️,computer mouse,computer_mouse,
🖲️,trackball,trackball,
💽,computer disk,computer_disk,
💾,floppy disk,floppy_disk,
💿,optical disk,optical_disk,
📀,dvd,dvd,
🧮,abacus,abacus,
🎥,movie camera,movie_camera,
🎞️,film frames,film_frames,
📽️,film projector,film_projector,
🎬,clapper board,clapper_board,
📺,television,television,
📷,camera,camera,
📸,camera with flash,camera_with_flash,
📹,video camera,video_camera,
📼,videocassette,videocassette,
🔍,magnifying glass tilted left,magnifying_glass_tilted_left,
🔎,magnifying glass tilted right,magnifying_glass_tilted_right,
🕯️,candle,candle,
💡,light bulb,light_bulb,
🔦,flashlight,flashlight,
🏮,red paper lantern,red_paper_lantern,
🪔,diya lamp,diya_lamp,
📔,notebook with decorative cover,notebook_with_decorative_cover,
📕,closed book,closed_book,
📖,open book,open_book,
📗,green book,green_book,
📘,blue book,blue_book,
📙,orange book,orange_book,
📚,books,books,
📓,notebook,notebook,
📒,ledger,ledger,
📃,page with curl,page_with_curl,
📜,scroll,scroll,
📄,page facing up,page_facing_up,
📰,newspaper,newspaper,
🗞️,rolled-up newspaper,rolled_up_newspaper,
📑,bookmark tabs,bookmark_tabs,
🔖,bookmark,bookmark,
🏷️,label,label,
💰,money bag,money_bag,
🪙,coin,coin,
💴,yen banknote,yen_banknote,
💵,dollar banknote,dollar_banknote,
💶,euro banknote,euro_banknote,
💷,pound banknote,pound_banknote,
💸,money with wings,money_with_wings,
💳,credit card,credit_card,
🧾,receipt,receipt,
💹,chart increasing with yen,chart_increasing_with_yen,
✉️,envelope,envelope,
📧,e-mail,e_mail,
📨,incoming envelope,incoming_envelope,
📩,envelope with arrow,envelope_with_arrow,
📤,outbox tray,outbox_tray,
📥,inbox tray,inbox_tray,
📦,package,package,
📫,closed mailbox with raised flag,closed_mailbox_with_raised_flag,
📪,closed mailbox with lowered flag,closed_mailbox_with_lowered_flag,
📬,open mailbox with raised flag,open_mailbox_with_raised_flag,
📭,open mailbox with lowered flag,open_mailbox_with_lowered_flag,
📮,postbox,postbox,
🗳️,ballot box with ballot,ballot_box_with_ballot,
✏️,pencil,pencil,
✒️,black nib,black_nib,
🖋️,fountain pen,fountain_pen,
🖊️,pen,pen,
🖌️,paintbrush,paintbrush,
🖍️,crayon,crayon,
📝,memo,memo,
💼,briefcase,briefcase,
📁,file folder,file_folder,
📂,open file folder,open_file_folder,
🗂️,card index dividers,card_index_dividers,
📅,calendar,calendar,
📆,tear-off calendar,tear_off_calendar,
🗒️,spiral notepad,spiral_notepad,
🗓️,spiral calendar,spiral_calendar,
📇,card index,card_index,
📈,chart increasing,chart_increasing,
📉,chart decreasing,chart_decreasing,
📊,bar chart,bar_chart,
📋,clipboard,clipboard,
📌,pushpin,pushpin,
📍,round pushpin,round_pushpin,
📎,paperclip,paperclip,
🖇️,linked paperclips,linked_paperclips,
📏,straight ruler,straight_ruler,
📐,triangular ruler,triangular_ruler,
✂️,scissors,scissors,
🗃️,card file box,card_file_box,
🗄️,file cabinet,file_cabinet,
🗑️,wastebasket,wastebasket,
🔒,locked,locked,
🔓,unlocked,unlocked,
🔏,locked with pen,locked_with_pen,
🔐,locked with key,locked_with_key,
🔑,key,key,
🗝️,old key,old_key,
🔨,hammer,hammer,
🪓,axe,axe,
⛏️,pick,pick,
⚒️,hammer and pick,hammer_and_pick,
🛠️,hammer and wrench,hammer_and_wrench,
🗡️,dagger,dagger,
⚔️,crossed swords,crossed_swords,
💣,bomb,bomb,
🪃,boomerang,boomerang,
🏹,bow and arrow,bow_and_arrow,
🛡️,shield,shield,
🪚,carpentry saw,carpentry_saw,
🔧,wrench,wrench,
🪛,screwdriver,screwdriver,
🔩,nut and bolt,nut_and_bolt,
⚙️,gear,gear,
🗜️,clamp,clamp,
⚖️,balance scale,balance_scale,
🦯,white cane,white_cane,
🔗,link,link,
⛓️‍💥,broken chain,broken_chain,
⛓️,chains,chains,
🪝,hook,hook,
🧰,toolbox,toolbox,
🧲,magnet,magnet,
🪜,ladder,ladder,
🪏,shovel,shovel,
⚗️,alembic,alembic,
🧪,test tube,test_tube,
🧫,petri dish,petri_dish,
🧬,dna,dna,
🔬,microscope,microscope,
🔭,telescope,telescope,
📡,satellite antenna,satellite_antenna,
💉,syringe,syringe,
🩸,drop of blood,drop_of_blood,
💊,pill,pill,
🩹,adhesive bandage,adhesive_bandage,
🩼,crutch,crutch,
🩺,stethoscope,stethoscope,
🩻,x-ray,x_ray,
🚪,door,door,
🛗,elevator,elevator,
🪞,mirror,mirror,
🪟,window,window,
🛏️,bed,bed,
🛋️,couch and lamp,couch_and_lamp,
🪑,chair,chair,
🚽,toilet,toilet,
🪠,plunger,plunger,
🚿,shower,shower,
🛁,bathtub,bathtub,
🪤,mouse trap,mouse_trap,
🪒,razor,razor,
🧴,lotion bottle,lotion_bottle,
🧷,safety pin,safety_pin,
🧹,broom,broom,
🧺,basket,basket,
🧻,roll of paper,roll_of_paper,
🪣,bucket,bucket,
🧼,soap,soap,
🫧,bubbles,bubbles,
🪥,toothbrush,toothbrush,
🧽,sponge,sponge,
🧯,fire extinguisher,fire_extinguisher,
🛒,shopping cart,shopping_cart,
🚬,cigarette,cigarette,
⚰️,coffin,coffin,
🪦,headstone,headstone,
⚱️,funeral urn,funeral_urn,
🧿,nazar amulet,nazar_amulet,
🪬,hamsa,hamsa,
🗿,moai,moai,
🪧,placard,placard,
🪪,identification card,identification_card,
🏧,ATM sign,atm_sign,
🚮,litter in bin sign,litter_in_bin_sign,
🚰,potable water,potable_water,
♿,wheelchair symbol,wheelchair_symbol,
🚹,men’s room,men_s_room,
🚺,women’s room,women_s_room,
🚻,restroom,restroom,
🚼,baby symbol,baby_symbol,
🚾,water closet,water_closet,
🛂,passport control,passport_control,
🛃,customs,customs,
🛄,baggage claim,baggage_claim,
🛅,left luggage,left_luggage,
⚠️,warning,warning,
🚸,children crossing,children_crossing,
⛔,no entry,no_entry,
🚫,prohibited,prohibited,
🚳,no bicycles,no_bicycles,
🚭,no smoking,no_smoking,
🚯,no littering,no_littering,
🚱,non-potable water,non_potable_water,
🚷,no pedestrians,no_pedestrians,
📵,no mobile phones,no_mobile_phones,
🔞,no one under eighteen,no_one_under_eighteen,
☢️,radioactive,radioactive,
☣️,biohazard,biohazard,
⬆️,up arrow,up_arrow,
↗️,up-right arrow,up_right_arrow,
➡️,right arrow,right_arrow,
↘️,down-right arrow,down_right_arrow,
⬇️,down arrow,down_arrow,
↙️,down-left arrow,down_left_arrow,
⬅️,left arrow,left_arrow,
↖️,up-left arrow,up_left_arrow,
↕️,up-down arrow,up_down_arrow,
↔️,left-right arrow,left_right_arrow,
↩️,right arrow curving left,right_arrow_curving_left,
↪️,left arrow curving right,left_arrow_curving_right,
⤴️,right arrow curving up,right_arrow_curving_up,
⤵️,right arrow curving down,right_arrow_curving_down,
🔃,clockwise vertical arrows,clockwise_vertical_arrows,
🔄,counterclockwise arrows button,counterclockwise_arrows_button,
🔙,BACK arrow,back_arrow,
🔚,END arrow,end_arrow,
🔛,ON! arrow,on_arrow,
🔜,SOON arrow,soon_arrow,
🔝,TOP arrow,top_arrow,
🛐,place of worship,place_of_worship,
⚛️,atom symbol,atom_symbol,
🕉️,om,om,
✡️,star of David,star_of_david,
☸️,wheel of dharma,wheel_of_dharma,
☯️,yin yang,yin_yang,
✝️,latin cross,latin_cross,
☦️,orthodox cross,orthodox_cross,
☪️,star and crescent,star_and_crescent,
☮️,peace symbol,peace_symbol,
🕎,menorah,menorah,
🔯,dotted six-pointed star,dotted_six_pointed_star,
🪯,khanda,khanda,
♈,Aries,aries,
♉,Taurus,taurus,
♊,Gemini,gemini,
♋,Cancer,cancer,
♌,Leo,leo,
♍,Virgo,virgo,
♎,Libra,libra,
♏,Scorpio,scorpio,
♐,Sagittarius,sagittarius,
♑,Capricorn,capricorn,
♒,Aquarius,aquarius,
♓,Pisces,pisces,
⛎,Ophiuchus,ophiuchus,
🔀,shuffle tracks button,shuffle_tracks_button,
🔁,repeat button,repeat_button,
🔂,repeat single button,repeat_single_button,
▶️,play button,play_button,
⏩,fast-forward button,fast_forward_button,
⏭️,next track button,next_track_button,
⏯️,play or pause button,play_or_pause_button,
◀️,reverse button,reverse_button,
⏪,fast reverse button,fast_reverse_button,
⏮️,last track button,last_track_button,
🔼,upwards button,upwards_button,
⏫,fast up button,fast_up_button,
🔽,downwards button,downwards_button,
⏬,fast down button,fast_down_button,
⏸️,pause button,pause_button,
⏹️,stop button,stop_button,
⏺️,record button,record_button,
⏏️,eject button,eject_button,
🎦,cinema,cinema,
🔅,dim button,dim_button,
🔆,bright button,bright_button,
📶,antenna bars,antenna_bars,
🛜,wireless,wireless,
📳,vibration mode,vibration_mode,
📴,mobile phone off,mobile_phone_off,
♀️,female sign,female_sign,
♂️,male sign,male_sign,
⚧️,transgender symbol,transgender_symbol,
✖️,multiply,multiply,
➕,plus,plus,
➖,minus,minus,
➗,divide,divide,
🟰,heavy equals sign,heavy_equals_sign,
♾️,infinity,infinity,
‼️,double exclamation mark,double_exclamation_mark,
⁉️,exclamation question mark,exclamation_question_mark,
❓,red question mark,red_question_mark,
❔,white question mark,white_question_mark,
❕,white exclamation mark,white_exclamation_mark,
❗,red exclamation mark,red_exclamation_mark,
〰️,wavy dash,wavy_dash,
💱,currency exchange,currency_exchange,
💲,heavy dollar sign,heavy_dollar_sign,
⚕️,medical symbol,medical_symbol,
♻️,recycling symbol,recycling_symbol,
⚜️,fleur-de-lis,fleur_de_lis,
🔱,trident emblem,trident_emblem,
📛,name badge,name_badge,
🔰,Japanese symbol for beginner,japanese_symbol_for_beginner,
⭕,hollow red circle,hollow_red_circle,
✅,check mark button,check_mark_button,
☑️,check box with check,check_box_with_check,
✔️,check mark,check_mark,
❌,cross mark,cross_mark,
❎,cross mark button,cross_mark_button,
➰,curly loop,curly_loop,
➿,double curly loop,double_curly_loop,
〽️,part alternation mark,part_alternation_mark,
✳️,eight-spoked asterisk,eight_spoked_asterisk,
✴️,eight-pointed star,eight_pointed_star,
❇️,sparkle,sparkle,
©️,copyright,copyright,
®️,registered,registered,
™️,trade mark,trade_mark,
🫟,splatter,splatter,
#️⃣,keycap #,keycap_number_sign,
*️⃣,keycap *,keycap_asterisk,
0️⃣,keycap 0,keycap_0,
1️⃣,keycap 1,keycap_1,
2️⃣,keycap 2,keycap_2,
3️⃣,keycap 3,keycap_3,
4️⃣,keycap 4,keycap_4,
